symbol,name2,sector
ecx1,epigenomics ag na o.n.,health technology
a6t,artec technologies o.n.,technology services
sfd1,softline ag o.n.,technology services
hhha,homes+holiday ag na o.n.,finance
shwk,shs viveon ag,technology services
m5s,marna beteil.ag inh o.n.,finance
xad6,db etc plc etc z 27.08.60 silber,miscellaneous
8hc,cogia ag inh eo 1,technology services
14d,tokentus investment ag,process industries
high,cantourage group se o.n.,finance
bog,stock3 ag na o.n.,technology services
engl,ev digital invest inh.akt,finance
gfj1,gfj esg acquisition i eo1,finance
75s,sdm se inh o.n.,commercial services
cap,"cryptol.asset grp eo 0,05",finance
